"profile_id","username","display_name","avatar_url","total_xp","season_id","week","weekly_xp","cumulative_xp","rank"
"28682","cheonchain","?he Onchain","https://pbs.twimg.com/profile_images/1731800310903914497/tHx5-9lY.jpg","51923","1","13","35044","39831","72"
"28686","UrsulaAnino2","Surfing experience","https://pbs.twimg.com/profile_images/1717683758369775617/VIb8RKlk.jpg","57407","1","13","34948","45463","73"
"17667","EshiFromForest_","Forest | GoH","https://pbs.twimg.com/profile_images/1832737297277587457/ZN0E4kRe.jpg","205579","1","13","34902","193778","74"
"22985","_Ehsan_96","Ehsan | ?????","https://pbs.twimg.com/profile_images/1965727067955232768/bCe_5G0I.jpg","152380","1","13","34697","134601","75"
"26922","ofwassupp","budekk (?,?)","https://pbs.twimg.com/profile_images/1956486186744139776/7kCLqdUb.jpg","111618","1","13","34681","102873","76"
"26591","0xdarkkk","0xdarkkk.eth","https://pbs.twimg.com/profile_images/1890104958168473600/etjbjZkO.jpg","102042","1","13","33896","93437","77"
"6011","DogMoonTrader","MoonTrader","https://pbs.twimg.com/profile_images/1961721247324078084/Z-dAR8w1.jpg","1317769","1","13","33417","748338","78"
"28241","gryazintweets","Gryazin","https://pbs.twimg.com/profile_images/1964350738424881152/iEMlLHJF.jpg","140587","1","13","33302","91841","79"
"3668","publius_val","Publius","https://pbs.twimg.com/profile_images/1947272688956743680/JzeBWLZr.jpg","595938","1","13","33266","450307","80"
"21853","0xHaciyatmaz","haciyatmaz","https://pbs.twimg.com/profile_images/1260642653445722113/FNc66_sv.jpg","232931","1","13","33254","171784","81"
"19749","s2k74","?SAJJAD?","https://pbs.twimg.com/profile_images/1934872308163739648/X5Qv6gr-.jpg","93289","1","13","32769","70152","82"
"1388","deejayrips","deejayrips","https://pbs.twimg.com/profile_images/1922490437270482944/3vDTvNIK.jpg","1091606","1","13","32731","662564","83"
"23555","zohrehfakhri","ZOHRE (???)","https://pbs.twimg.com/profile_images/1920203982183567360/VIGauRBE.jpg","91014","1","13","32154","74635","84"
"20210","selim_jpeg","Selim C ????","https://pbs.twimg.com/profile_images/1923710643619635200/pYdAE9gZ.jpg","90972","1","13","32063","76842","85"
"12723","UTDsDad","nobody","https://pbs.twimg.com/profile_images/1757597241097781248/IYNjnuEb.jpg","446616","1","13","32042","434142","86"
"2309","ironsidecrypto","Mush","https://pbs.twimg.com/profile_images/1905279730963959808/A5NJwczs.jpg","735324","1","13","31954","413843","87"
"21071","Marina_1992x","Marina | GoH","https://pbs.twimg.com/profile_images/1819294520447524865/4jnL2OBR.jpg","295641","1","13","31867","274136","88"
"23612","stoicbedo","Stoic Bedo","https://pbs.twimg.com/profile_images/1907807718762541056/lv8CPEgR.jpg","83022","1","13","31830","70875","89"
"30461","byeibo2","byeibo","https://pbs.twimg.com/profile_images/1947919133296791552/4HvduTfk.jpg","43846","1","13","31815","31815","90"
