"profile_id","username","display_name","avatar_url","total_xp","season_id","week","weekly_xp","cumulative_xp","rank"
"9013","Pato49372647771","THAWBAN ?? ?","https://pbs.twimg.com/profile_images/1871517946851332096/RBKeHIjV.jpg","4267","0",,"4267","2315","8704"
"17883","BeerussWeb3","BeeRusSama","https://pbs.twimg.com/profile_images/1833553984063258624/ZIg6VlSk.jpg","2315","0",,"2315","2315","8705"
"22019","Slytherin_salaz","Salazar","https://pbs.twimg.com/profile_images/1949118231626612736/oJCQ5t64.jpg","2315","0",,"2315","2315","8706"
"5502","Potterplays1","Potter?????","https://pbs.twimg.com/profile_images/1887521981001609216/NOw5rHmz.jpg","2314","0",,"2314","2314","8707"
"13569","Solshit31","Solshit","https://pbs.twimg.com/profile_images/1844850489302646787/dvzOfXUY.jpg","2312","0",,"2312","2312","8708"
"2391","PLA______","PLA","https://pbs.twimg.com/profile_images/1959261655591751680/Nyeb07Ho.jpg","2460","0",,"2460","2310","8709"
"4284","johnsm_12","john","https://pbs.twimg.com/profile_images/1729255106548211712/-pOYdc--.jpg","2310","0",,"2310","2310","8710"
"27676","hlsadf96890","OPensea builder","https://pbs.twimg.com/profile_images/1862754860061663235/3DMHMrPk.jpg","2310","0",,"2310","2310","8711"
"27249","Fatimah64sh","Fatimah64sh","https://pbs.twimg.com/profile_images/1919512177255251969/Zwiinxmp.jpg","2309","0",,"2309","2309","8712"
"17318","qhenomm","Kareem (???)","https://pbs.twimg.com/profile_images/1723091957780561920/tbvhyC3E.jpg","2308","0",,"2308","2308","8713"
"10986","AmTheChandan","Chandan ($/acc)","https://pbs.twimg.com/profile_images/1947981150712184832/c1QHaOso.jpg","2309","0",,"2309","2305","8714"
"12132","mrhoudini_wave","Eys ??","https://pbs.twimg.com/profile_images/1922070368723894272/rGWn2kSt.jpg","2305","0",,"2305","2305","8715"
"16579","BobbyCoochie","bobby coochie ??","https://pbs.twimg.com/profile_images/1932246274721325056/AQZ3gVDn.jpg","2305","0",,"2305","2305","8716"
"11623","CorthWeb3","corth ??","https://pbs.twimg.com/profile_images/1895670128013905920/0hiHprxl.jpg","2664","0",,"2664","2304","8717"
"13500","vico4l","V I C O ?","https://pbs.twimg.com/profile_images/1779817868403630080/QCh4Cilk.jpg","2404","0",,"2404","2304","8718"
"20054","usmkols","Usman","https://pbs.twimg.com/profile_images/1921139154630451200/37FDmEbw.jpg","2304","0",,"2304","2304","8719"
"22640","0xFroSTy","frost.crypto","https://pbs.twimg.com/profile_images/1622952088798912514/jy9pDk_G.jpg","2301","0",,"2301","2301","8720"
"4993","dancu3e","dancube","https://pbs.twimg.com/profile_images/1751356920420818944/cxL1rz3m.jpg","2300","0",,"2300","2300","8721"
"14200","rektonomist_","Rektnomist","https://pbs.twimg.com/profile_images/1963889964879339520/_8HWARUX.jpg","2300","0",,"2300","2300","8722"
"15332","0xkittenJoy","Joy @ kitten??($BID)","https://pbs.twimg.com/profile_images/1945026282464665600/FGhDulXg.jpg","2744","0",,"2744","2300","8723"
"15503","0xCrypton_","Crypton ? (??,?) ??","https://pbs.twimg.com/profile_images/1928040474490687488/DXGyN6oI.jpg","2300","0",,"2300","2300","8724"
"23771","SRiddmani","Sathya Ridmani","https://pbs.twimg.com/profile_images/1846944338376536064/MmR80sMY.jpg","2300","0",,"2300","2300","8725"
"29058","0xYowie","Yowie","https://pbs.twimg.com/profile_images/1958443844464148480/uza_TaCY.jpg","3425","0",,"3425","2300","8726"
"30186","Amplified9666","Amplified9666 WIZO","https://pbs.twimg.com/profile_images/1892789514046767104/ThGQ38ny.jpg","2300","0",,"2300","2300","8727"
"34424","maxwellll_","Iron gate ??? (?,?)","https://pbs.twimg.com/profile_images/1931994467352928256/Pw03FCe7.jpg","2300","0",,"2300","2300","8728"
"17144","QMSTRKR","Crazy gang ??","https://pbs.twimg.com/profile_images/1927197257142575104/NKRuPZw7.jpg","2299","0",,"2299","2299","8729"
"20809","chris2000123","NGZJAJA CRYPTO HUB| ??rAI (?,G) ??","https://pbs.twimg.com/profile_images/1961061338072973312/7yOXnuXq.jpg","2298","0",,"2298","2298","8730"
"16665","alexandercooka","Alextercook ???????,?????","https://pbs.twimg.com/profile_images/1964908156242345984/3F20J-EO.jpg","2297","0",,"2297","2297","8731"
"21331","AnhTunas1","Andy_QTBOT","https://pbs.twimg.com/profile_images/1937714682204422144/drGeNWzR.jpg","2296","0",,"2296","2296","8732"
"27494","Turkishgoldeng1","Gold Dugger ????","https://pbs.twimg.com/profile_images/1954576192843239424/plEuWIpx.jpg","2296","0",,"2296","2296","8733"
"12338","ack666","?? .lens ???? $FF","https://pbs.twimg.com/profile_images/1965767587314417665/5qT199uJ.jpg","2895","0",,"2895","2295","8734"
"12221","NTongzhao","idolzhao-(?,G).ink??","https://pbs.twimg.com/profile_images/1589909137936322560/upvunmTz.jpg","2291","0",,"2291","2291","8735"
"4995","Danstox1","Danstox","https://pbs.twimg.com/profile_images/1376960680629264385/na68a0wR.jpg","2355","0",,"2355","2290","8736"
"9456","0xKingsKuan","??? ????","https://pbs.twimg.com/profile_images/1945776694746333184/W6JujLo7.jpg","2299","0",,"2299","2290","8737"
